ID;status;gold_ready;family_ready;family_blocker;blocker_category;explanation
AMF-R-001;source_checked;non;non;affirmations_negatives_resolues;NEGATIVE_CLAIM_UNRESOLVED;1 affirmation(s) négative(s) non vérifiée(s) : un gold affirmerait une absence que rien n'atteste
AMF-R-002;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
AMF-R-003;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
AMF-R-004;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
AMF-R-005;draft;non;non;source_primaire_verifiee;SOURCE_INCOMPLETE;la source n'a pas été confrontée au texte primaire (model_knowledge_unverified) : aucune réponse de référence ne pourrait être opposée
DORA-R-001;validated;oui;oui;;;
DORA-R-002;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
DORA-R-003;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
DORA-R-004;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
DORA-R-005;validated;oui;oui;;;
DORA-R-006;source_checked;non;non;exceptions_recherchees;EXCEPTION_UNRESOLVED;recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu
DORA-R-007;source_checked;non;non;affirmations_negatives_resolues;NEGATIVE_CLAIM_UNRESOLVED;1 affirmation(s) négative(s) non vérifiée(s) : un gold affirmerait une absence que rien n'atteste
DORA-R-008;source_checked;non;non;affirmations_negatives_resolues;NEGATIVE_CLAIM_UNRESOLVED;1 affirmation(s) négative(s) non vérifiée(s) : un gold affirmerait une absence que rien n'atteste
DORA-R-009;validated;oui;oui;;;
