rule_id;domaine;source;article;version;statut;exceptions;temporalite;probleme;classement;priorite;concordance;article_trouve;chiffres_absents;verdict_propose;celex_consulte;journal_officiel;recupere_depuis;sha256_texte
AMF-R-001;AMF;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;2020-01-01;draft;unknown;in_force;"exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation ; source doctrinale : elle éclaire l'application d'un texte, elle ne vaut pas preuve principale pour une disposition législative";REQUIRES_HUMAN_REVIEW;CRITICAL;0.67;oui;;confirme;;;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;d6a313463d04d831b706e9c8781473371c53168fa4f0f9673851c4303ce097b7
DORA-R-007;DORA;Règlement (UE) 2022/2554 (DORA);Article 18;2020-01-01;draft;unknown;in_force;"affirmation négative « L'article 18 fixerait lui-même un nombre de clients affectés… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;CRITICAL;0.75;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-008;DORA;Règlement (UE) 2022/2554 (DORA);Article 19;2020-01-01;draft;unknown;in_force;"affirmation négative « Le règlement DORA de niveau 1 fixerait un délai de notificat… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;CRITICAL;0.68;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
LCBFT-R-005;LCBFT;Code monétaire et financier;Articles L.561-2-2 et R.561-1 et suivants;2020-01-01;draft;unknown;in_force;Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici;BLOCKED;CRITICAL;0.00;non;;;;;;
MIFID-R-007;MIFID;Règlement délégué (UE) 2017/565 modifié;Article 54;2020-01-01;draft;unknown;in_force;"l'URL désigne l'acte 32021R1253 alors que la source cite 32017R0565 : vérification conduite contre l'acte cité ; la source dit l'acte modifié, mais aucune version consolidée au 2020-01-01 n'existe (02017R0565-20200101) : la date de consolidation applicable doit être établie, sans quoi la règle est vérifiée contre le texte d'origine ; énoncé peu corroboré par le texte cité (32% du vocabulaire retrouvé) : la règle parle peut-être d'autre chose ; affirmation négative « Le texte fixerait une proportion minimale chiffrée d'investi… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";DRAFT;CRITICAL;0.32;oui;;corrige;32017R0565;L 87;http://publications.europa.eu/resource/cellar/7c37494d-15d3-11e7-808e-01aa75ed71a1.0009.03/DOC_1;7658e706e1aba156afef15dc8981bf0fedc49a563abb1896dfefc53760a54cc3
SFDR-R-003;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 4;2020-01-01;draft;unknown;in_force;"affirmation négative « L'article 4 fixerait lui-même un seuil chiffré d'encours déc… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;CRITICAL;0.80;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
SFDR-R-008;SFDR;Règlement (UE) 2019/2088 (SFDR);Article 8;2020-01-01;draft;unknown;in_force;"affirmation négative « L'article 8 imposerait une part minimale d'investissements d… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation";REQUIRES_HUMAN_REVIEW;CRITICAL;0.60;oui;;confirme;32019R2088;L 317;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;cff1f7f22f10c0ebf56cdc253fc7bf59e9afa416dd59f15b922c6735b8e3bdd7
AMF-R-004;AMF;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;2020-01-01;draft;unknown;in_force;"exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation ; source doctrinale : elle éclaire l'application d'un texte, elle ne vaut pas preuve principale pour une disposition législative";REQUIRES_HUMAN_REVIEW;CRITICAL;0.73;oui;;confirme;;;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;d6a313463d04d831b706e9c8781473371c53168fa4f0f9673851c4303ce097b7
DORA-R-001;DORA;Règlement (UE) 2022/2554 (DORA);Article 2;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.60;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
DORA-R-002;DORA;Règlement (UE) 2022/2554 (DORA);Article 5;2020-01-01;draft;unknown;in_force;exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation;REQUIRES_HUMAN_REVIEW;CRITICAL;0.86;oui;;confirme;32022R2554;L 333;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;f8752b0217d49aaeee70ec14262cc24feeb282a425b4d170d073eb7439ba41b2
