rule_id;domaine;type;priorite;statut_actuel;texte_source;article;url;version_date_declaree;enonce_actuel;exceptions_statut_actuel;verdict;methode;verifie_par;date_verification;statut_vise;enonce_corrige;article_corrige;paragraphe_corrige;url_corrigee;version_date_constatee;exceptions_statut;exceptions_constatees;gold_ready;gold_ready_motif;commentaire
AMF-R-001;AMF;THRESHOLD;CRITICAL;source_checked;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;2020-01-01;La position-recommandation AMF DOC-2020-03 subordonne la possibilité pour un placement collectif de communiquer de manière centrale sur la prise en compte de critères extra-financiers au caractère significativement engageant de l'approche mise en œuvre.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;"RÉSERVES — exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation ; source doctrinale : elle éclaire l'application d'un texte, elle ne vaut pas preuve principale pour une disposition législative"
DORA-R-007;DORA;CLASSIFICATION;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 18;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 18 impose de classer les incidents liés aux TIC et de déterminer leur incidence selon des critères tels que le nombre de clients affectés, la durée, la répartition géographique, les pertes de données et la criticité des services touchés, les seuils étant précisés par des normes techniques.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;"TEXTE OFFICIEL — Article 18 Classification des incidents liés aux TIC et des cybermenaces 1. Les entités financières classent les incidents liés aux TIC et déterminent leur incidence sur la base des critères suivants: a) le nombre et/ou l’importance des clients ou des contreparties financières touchés et, le cas échéant, le volume ou le nombre de transactions touchées par l’incident lié aux TIC, et si cet incident a porté atteinte à la réputation; b) la durée de l’incident lié aux TIC, y compris les interruptions de service; c) la répartition géographique en ce qui concerne les zones touchées par l’incident li || RÉSERVES — affirmation négative « L'article 18 fixerait lui-même un nombre de clients affectés… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation"
DORA-R-008;DORA;DEADLINE;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 19;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 19 impose de notifier les incidents majeurs liés aux TIC à l'autorité compétente, selon un processus comportant une notification initiale, un rapport intermédiaire et un rapport final, dont les délais sont précisés par des normes techniques.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;"TEXTE OFFICIEL — Article 19 Déclaration des incidents majeurs liés aux TIC et notification volontaire des cybermenaces importantes 1. Les entités financières déclarent à l’autorité compétente pertinente visée à l’article 46 les incidents majeurs liés aux TIC, conformément au paragraphe 4 du présent article. Lorsqu’une entité financière est soumise à la surveillance de plusieurs autorités nationales compétentes visées à l’article 46, les États membres désignent une seule autorité compétente en tant qu’autorité compétente concernée chargée d’exercer les fonctions et missions prévues au présent article. Les établ || RÉSERVES — affirmation négative « Le règlement DORA de niveau 1 fixerait un délai de notificat… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation"
LCBFT-R-005;LCBFT;DEFINITION;CRITICAL;draft;Code monétaire et financier;Articles L.561-2-2 et R.561-1 et suivants;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier impose d'identifier et de vérifier l'identité du bénéficiaire effectif de la relation d'affaires, les modalités et critères de détermination étant fixés par sa partie réglementaire.;unknown;;;;;;;;;;;;;;;RÉSERVES — Légifrance répond HTTP 403 depuis cet environnement : le Code monétaire et financier ne peut pas être consulté ici
SFDR-R-003;SFDR;DISCLOSURE;CRITICAL;source_checked;Règlement (UE) 2019/2088 (SFDR);Article 4;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 4 impose de publier une déclaration sur les politiques de diligence raisonnable relatives aux principales incidences négatives des décisions d'investissement sur les facteurs de durabilité, ou d'expliquer clairement pourquoi ces incidences ne sont pas prises en compte.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;"TEXTE OFFICIEL — Article 4 Transparence des incidences négatives en matière de durabilité au niveau des entités 1. Les acteurs des marchés financiers publient et tiennent à jour sur leur site internet: a) lorsqu’ils prennent en compte les principales incidences négatives des décisions d’investissement sur les facteurs de durabilité, une déclaration sur les politiques de diligence raisonnable en ce qui concerne ces incidences, compte tenu de leur taille, de la nature et de l’étendue de leurs activités ainsi que des types de produits financiers qu’ils mettent à disposition; ou b) lorsqu’ils ne prennent pas en co || RÉSERVES — affirmation négative « L'article 4 fixerait lui-même un seuil chiffré d'encours déc… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation"
SFDR-R-008;SFDR;CLASSIFICATION;CRITICAL;source_checked;Règlement (UE) 2019/2088 (SFDR);Article 8;http://publications.europa.eu/resource/cellar/4f50e277-1a53-11ea-8c1f-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 8 vise les produits financiers qui promeuvent, entre autres caractéristiques, des caractéristiques environnementales ou sociales, et impose de préciser dans l'information précontractuelle comment ces caractéristiques sont respectées.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;"TEXTE OFFICIEL — Article 8 Transparence de la promotion des caractéristiques environnementales ou sociales dans les informations précontractuelles publiées 1. Lorsqu’un produit financier promeut, entre autres caractéristiques, des caractéristiques environnementales ou sociales, ou une combinaison de ces caractéristiques, pour autant que les sociétés dans lesquelles les investissements sont réalisés appliquent des pratiques de bonne gouvernance, les informations à publier en vertu de l’article 6, paragraphes 1 et 3, comprennent: a) des informations sur la manière dont ces caractéristiques sont respectées; b) si || RÉSERVES — affirmation négative « L'article 8 imposerait une part minimale d'investissements d… » : sans chiffre à chercher, l'absence ne peut pas être établie mécaniquement ; exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation"
AMF-R-004;AMF;SCOPE;CRITICAL;source_checked;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;2020-01-01;La doctrine AMF relative aux informations extra-financières des placements collectifs s'applique en complément du règlement (UE) 2019/2088, qui régit l'information réglementaire, la doctrine portant sur la communication.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;"RÉSERVES — exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation ; source doctrinale : elle éclaire l'application d'un texte, elle ne vaut pas preuve principale pour une disposition législative"
DORA-R-002;DORA;GOVERNANCE;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 5;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 5 du règlement (UE) 2022/2554 dispose que l'organe de direction de l'entité financière définit, approuve, supervise et est responsable de la mise en œuvre du cadre de gestion du risque lié aux TIC.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;TEXTE OFFICIEL — Article 5 Gouvernance et organisation 1. Les entités financières disposent d’un cadre de gouvernance et de contrôle interne qui garantit une gestion efficace et prudente du risque lié aux TIC, conformément à l’article 6, paragraphe 4, en vue d’atteindre un niveau élevé de résilience opérationnelle numérique. 2. L’organe de direction de l’entité financière définit, approuve, supervise et est responsable de la mise en œuvre de toutes les dispositions relatives au cadre de gestion du risque lié aux TIC visé à l’article 6, paragraphe 1. Aux fins du premier alinéa, l’organe de direction: a) assume  || RÉSERVES — exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation
DORA-R-003;DORA;OBLIGATION;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 6;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 6 impose de disposer d'un cadre de gestion du risque lié aux TIC solide, complet et bien documenté, faisant partie du dispositif global de gestion des risques, et de le réexaminer au moins une fois par an.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;TEXTE OFFICIEL — Article 6 Cadre de gestion du risque lié aux TIC 1. Les entités financières disposent d’un cadre de gestion du risque lié aux TIC solide, complet et bien documenté, faisant partie de leur système global de gestion des risques, qui leur permet de parer au risque lié aux TIC de manière rapide, efficiente et exhaustive et de garantir un niveau élevé de résilience opérationnelle numérique. 2. Le cadre de gestion du risque lié aux TIC englobe au moins les stratégies, les politiques, les procédures, les protocoles et les outils de TIC qui sont nécessaires pour protéger dûment et de manière approprié || RÉSERVES — exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation
DORA-R-010;DORA;RECORD_KEEPING;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 28;http://publications.europa.eu/resource/cellar/0caf473a-85bd-11ed-9887-01aa75ed71a1.0009.02/DOC_1;2020-01-01;L'article 28 du règlement (UE) 2022/2554 impose de tenir et de mettre à jour un registre d'information relatif à l'ensemble des accords contractuels portant sur l'utilisation de services TIC fournis par des prestataires tiers, en distinguant ceux qui soutiennent des fonctions critiques ou importantes.;unknown;;primary_text_fetched;;;source_checked;;;;;;;;;;TEXTE OFFICIEL — Article 28 Principes généraux 1. Les entités financières gèrent les risques liés aux prestataires tiers de services TIC en tant que partie intégrante du risque lié aux TIC dans leur cadre de gestion du risque lié aux TIC visé à l’article 6, paragraphe 1, et conformément aux principes suivants: a) les entités financières qui ont conclu des accords contractuels pour l’utilisation de services TIC dans le cadre de leurs activités restent à tout moment pleinement responsables du respect et de l’exécution de toutes les obligations découlant du présent règlement et du droit applicable aux services fi || RÉSERVES — exceptions jamais cherchées : à trancher entre « listed » et « none_identified » avant toute validation
