domain;rule_id;rule_type;rule_status;rule_priority;family_code;family_kind;family_id;family_score;retained;question_type;reasoning_trap;predicted_difficulty;priority;candidate_family_status;twin_group_id;twin_type;concept_tested;redundancy_group_id;family_rationale
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F1;FACT_RECALL;AMF-R-001-F1;3;True;fact;NONE;2;HIGH;blocked;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;règle de type THRESHOLD : elle porte un élément restituable exactement (définition, seuil, délai ou périmètre)
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F2;QUALIFICATION;AMF-R-001-F2;2;True;qualification;NONE;4;CRITICAL;blocked;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;la règle se projette sur un cas, avec une réponse tranchable
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F3;CALCULATION;AMF-R-001-F3;3;True;calculation;NONE;3;CRITICAL;blocked;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;règle de type THRESHOLD : la computation est dans la règle, pas ajoutée par la question
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F4;FALSE_PREMISE;AMF-R-001-F4;3;True;false_premise;FALSE_THRESHOLD;4;CRITICAL;blocked;TG-AMF-R-001;FALSE_TRUE;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;1 affirmation(s) fausse(s) déjà identifiée(s) sur cette règle : la prémisse est prête à être réfutée, sous réserve de vérifier l'absence
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F5;TRUE_PREMISE_ADVERSARIAL;AMF-R-001-F5;3;True;true_premise_adversarial;NONE;4;HIGH;blocked;TG-AMF-R-001;FALSE_TRUE;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;jumeau obligatoire de la fausse prémisse : sans lui, le modèle apprend « question adversariale ⇒ réfuter » et gagne des points en réfutant le vrai
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F6;CALIBRATED_ABSTENTION;;1;False;calibrated_abstention;MISSING_INFORMATION;4;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;exceptions inconnues : on ne peut pas affirmer qu'un cas est indécidable tant qu'on ignore ce que le texte prévoit
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F7;CONDITIONAL_ANSWER;;0;False;qualification;NONE;3;CRITICAL;not_retained;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;règle sans branche : une réponse conditionnelle serait un artifice
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F8;TEMPORAL;;0;False;fact;TEMPORAL_CONFUSION;4;HIGH;not_retained;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;règle stable et non bornée : une question temporelle porterait sur une date sans enjeu
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F9;CROSS_REGULATORY;AMF-R-001-F9;3;True;qualification;CROSS_REGULATORY_CONFLATION;5;CRITICAL;blocked;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;confusion inter-réglementaire documentée et régime(s) voisin(s) identifié(s) : SFDR
AMF;AMF-R-001;THRESHOLD;draft;CRITICAL;F10;EXCEPTION;;0;False;qualification;OVERGENERALIZATION;4;CRITICAL;not_retained;;;Position-recommandation DOC-2020-03 = Condition d'une communication centrale sur les critères extra-financiers;RG-AMF-POSITION-RECOMMANDATION-THRESHOLD;exceptions inconnues : tester une exception qu'on n'a pas cherchée reviendrait à l'inventer
