rule_id;domaine;type;priorite;statut_actuel;texte_source;article;url;version_date_declaree;enonce_actuel;exceptions_statut_actuel;verdict;methode;verifie_par;date_verification;statut_vise;enonce_corrige;article_corrige;paragraphe_corrige;url_corrigee;version_date_constatee;exceptions_statut;exceptions_constatees;gold_ready;gold_ready_motif;commentaire
AMF-R-001;AMF;THRESHOLD;CRITICAL;source_checked;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;2020-01-01;La position-recommandation AMF DOC-2020-03 subordonne la possibilité pour un placement collectif de communiquer de manière centrale sur la prise en compte de critères extra-financiers au caractère significativement engageant de l'approche mise en œuvre.;unknown;;;;;;;;;;;;;;;"STRUCTURES — seuil, renvoi || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; renvois vérifiés dans l'acte : articles 19"
AMF-R-002;AMF;OBLIGATION;HIGH;source_checked;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;2020-01-01;La position-recommandation AMF DOC-2020-03 distingue plusieurs niveaux de communication sur la prise en compte de critères extra-financiers, du niveau central au niveau réduit, selon le degré d'engagement du produit.;unknown;;;;;;;;;;;;;;;"STRUCTURES — seuil, renvoi || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; renvois vérifiés dans l'acte : articles 19"
AMF-R-003;AMF;OBLIGATION;HIGH;source_checked;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;2020-01-01;La position-recommandation AMF DOC-2020-03 traite de la cohérence entre la dénomination d'un placement collectif faisant référence à des considérations extra-financières et la réalité de l'approche mise en œuvre.;unknown;;;;;;;;;;;;;;;"STRUCTURES — seuil, renvoi || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; renvois vérifiés dans l'acte : articles 19"
AMF-R-004;AMF;SCOPE;CRITICAL;source_checked;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;https://www.amf-france.org/fr/reglementation/doctrine/doc-2020-03;2020-01-01;La doctrine AMF relative aux informations extra-financières des placements collectifs s'applique en complément du règlement (UE) 2019/2088, qui régit l'information réglementaire, la doctrine portant sur la communication.;unknown;;;;;;;;;;;;;;;"STRUCTURES — seuil, renvoi || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; renvois vérifiés dans l'acte : articles 19"
AMF-R-005;AMF;SCOPE;HIGH;draft;Règlement général de l'AMF;Règlement général;https://www.amf-france.org/fr/reglementation/reglement-general;2020-01-01;Le règlement général de l'AMF fixe les règles applicables aux acteurs et aux produits relevant de la compétence de l'Autorité des marchés financiers, et se distingue de la doctrine, qui explicite l'interprétation retenue par l'Autorité.;unknown;;;;;;;;;;;;;;;STRUCTURES — aucune || CONSTATS — texte de l'article non disponible : la structure juridique n'a pas pu être examinée, et une absence d'exception ne se suppose pas
DORA-R-001;DORA;SCOPE;CRITICAL;validated;Règlement (UE) 2022/2554 (DORA);Article 2;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 2 du règlement (UE) 2022/2554 énumère les catégories d'entités financières auxquelles le règlement s'applique, ainsi que les prestataires tiers de services TIC, et prévoit des exclusions pour certaines entités.;identified_and_incorporated;confirme;primary_text_fetched;;;validated;;;;;;identified_and_incorporated;"Sans préjudice des paragraphes 3 et 4, le présent règlement s’applique aux entités suivantes: a) les établissements de crédit; b) les établissements de paiement, y compris les établissements de paiement exemptés en vertu de la directive (UE) 2015/2366; c) les prestataires de services d’information sur les comptes; d) les établissements de monnaie électronique, y compris les établissements de monna | Le présent règlement ne s’applique pas aux: a) gestionnaires de fonds d’investissement alternatifs visés à l’article 3, paragraphe 2, de la directive 2011/61/UE; b) entreprises d’assurance et de réassurance visées à l’article 4 de la directive 2009/138/CE; c) institutions de retraite professionnelle qui gèrent des régimes de retraite qui, ensemble, ne comptent pas plus de quinze affiliés au total;";oui;énoncé porteur d'un fait vérifiable, ancré sur « Article 2 » (220 caractères), exceptions « identified_and_incorporated »;STRUCTURES — derogation, exemption, conditions_cumulatives, regime_particulier || CONSTATS — 2 disposition(s) limitante(s) recopiée(s) du texte officiel (derogation, exemption)
DORA-R-002;DORA;GOVERNANCE;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 5;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 5 du règlement (UE) 2022/2554 dispose que l'organe de direction de l'entité financière définit, approuve, supervise et est responsable de la mise en œuvre du cadre de gestion du risque lié aux TIC.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, regime_particulier || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
DORA-R-003;DORA;OBLIGATION;CRITICAL;source_checked;Règlement (UE) 2022/2554 (DORA);Article 6;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 6 impose de disposer d'un cadre de gestion du risque lié aux TIC solide, complet et bien documenté, faisant partie du dispositif global de gestion des risques, et de le réexaminer au moins une fois par an.;unknown;;;;;;;;;;;;;;;"STRUCTURES — conditions_cumulatives, regime_particulier || CRITÈRES MANQUANTS — exceptions_recherchees, temporalite_etablie || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste ; temporalité non établie (statut « IN_FORCE »)"
DORA-R-004;DORA;PROCEDURE;HIGH;source_checked;Règlement (UE) 2022/2554 (DORA);Articles 8 à 13;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;Les articles 8 à 13 du règlement (UE) 2022/2554 organisent les fonctions du cadre de gestion du risque TIC : identification des fonctions et actifs, protection et prévention, détection des activités anormales, réponse et rétablissement, politiques de sauvegarde et de restauration, apprentissage et évolution.;unknown;;;;;;;;;;;;;;;STRUCTURES — conditions_cumulatives, delai, regime_particulier || CRITÈRES MANQUANTS — exceptions_recherchees || CONSTATS — aucune structure limitante dans l'article cité — ce qui ne prouve pas qu'aucun autre article n'y déroge : « none_identified » demande un juriste
DORA-R-005;DORA;EXCEPTION;HIGH;validated;Règlement (UE) 2022/2554 (DORA);Article 16;https://eur-lex.europa.eu/legal-content/FR/TXT/?uri=CELEX:32022R2554;2020-01-01;L'article 16 prévoit un cadre simplifié de gestion du risque lié aux TIC pour certaines entités financières limitativement énumérées.;identified_and_incorporated;confirme;primary_text_fetched;;;validated;;;;;;identified_and_incorporated;"Les articles 5 à 15 du présent règlement ne s’appliquent pas aux petites entreprises d’investissement non interconnectées et aux établissements de paiement exemptés en vertu de la directive (UE) 2015/2366; aux établissements exemptés en vertu de la directive 2013/36/UE pour lesquels les États membres ont décidé de ne pas appliquer l’option visée à l’article 2, paragraphe 4, du présent règlement; a | Sans préjudice du premier alinéa, les entités énumérées au premier alinéa doivent: a) mettre en place et maintenir un cadre de gestion du risque lié aux TIC solide et documenté qui détaille les mécanismes et les mesures permettant une gestion rapide, efficace et complète du risque lié aux TIC, y compris en ce qui concerne la protection des composantes et infrastructures physiques pertinentes; b) s";oui;énoncé porteur d'un fait vérifiable, ancré sur « Article 16 » (133 caractères), exceptions « identified_and_incorporated »;STRUCTURES — derogation, exemption, conditions_cumulatives, delai || CONSTATS — 2 disposition(s) limitante(s) recopiée(s) du texte officiel (derogation, exemption)
