rule_id;priorite;domaine;review_cluster_id;statut_actuel;version_actuelle;blocage;mechanical_proposal;neutral_legal_question;dispositions_a_examiner;source_scope_demande;reviewer_decision;reviewer_name;review_date;review_notes;source_scope;enonce_reformule;exceptions_constatees
MIFID-R-002;P0;MIFID;CL-EXC-DIRECTIVE-2014-65-UE-MIFID-I-A1-A19-A20-A24-A3-A30;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 19, Article 20 constitue(nt)-t-il(s) une exception applicable à « Article 25 » de Directive 2014/65/UE (MIFID II), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle MIFID-R-002 ?;Article 1 | Article 19 | Article 20 | Article 24 | Article 3 | Article 30;"Directive 2014/65/UE (MIFID II), version du 2020-01-01 ; article cité : Article 25 ; dispositions à examiner : Article 1, Article 19, Article 20, Article 24, Article 3, Article 30";;;;;;;
MIFID-R-003;P0;MIFID;CL-EXC-DIRECTIVE-2014-65-UE-MIFID-I-A1-A19-A20-A24-A3-A30;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 19, Article 20 constitue(nt)-t-il(s) une exception applicable à « Article 25 » de Directive 2014/65/UE (MIFID II), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle MIFID-R-003 ?;Article 1 | Article 19 | Article 20 | Article 24 | Article 3 | Article 30;"Directive 2014/65/UE (MIFID II), version du 2020-01-01 ; article cité : Article 25 ; dispositions à examiner : Article 1, Article 19, Article 20, Article 24, Article 3, Article 30";;;;;;;
MIFID-R-004;P0;MIFID;CL-EXC-DIRECTIVE-2014-65-UE-MIFID-I-A1-A19-A20-A24-A3-A30;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 19, Article 20 constitue(nt)-t-il(s) une exception applicable à « Article 25 » de Directive 2014/65/UE (MIFID II), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle MIFID-R-004 ?;Article 1 | Article 19 | Article 20 | Article 24 | Article 3 | Article 30;"Directive 2014/65/UE (MIFID II), version du 2020-01-01 ; article cité : Article 25 ; dispositions à examiner : Article 1, Article 19, Article 20, Article 24, Article 3, Article 30";;;;;;;
AMF-R-004;P0;AMF;CL-EXC-POSITION-RECOMMANDATION-AMF-AUCUNE;source_checked;1;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;L'acte Position-recommandation AMF DOC-2020-03 comporte-t-il, en dehors de « Position-recommandation DOC-2020-03 », une disposition qui déroge à cette obligation, ou aucune disposition de cet acte n'en limite-t-elle la portée ?;;"Position-recommandation AMF DOC-2020-03, version du 2020-01-01 ; article cité : Position-recommandation DOC-2020-03 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
SFDR-R-001;P0;SFDR;CL-EXC-R-GLEMENT-UE-2019-2088-SFDR-A13;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_SCOPE_UNCLEAR;Article 13 constitue(nt)-t-il(s) une exception applicable à « Article 2 » de Règlement (UE) 2019/2088 (SFDR), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle SFDR-R-001 ?;Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 2 ; dispositions à examiner : Article 13";;;;;;;
SFDR-R-005;P0;SFDR;CL-EXC-R-GLEMENT-UE-2019-2088-SFDR-A9-A13;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 9, Article 13 constitue(nt)-t-il(s) une exception applicable à « Article 6 » de Règlement (UE) 2019/2088 (SFDR), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle SFDR-R-005 ?;Article 9 | Article 13;"Règlement (UE) 2019/2088 (SFDR), version du 2020-01-01 ; article cité : Article 6 ; dispositions à examiner : Article 9, Article 13";;;;;;;
TAXO-R-001;P0;SFDR;CL-EXC-R-GLEMENT-UE-2020-852-TAXONO-AUCUNE;source_checked;1;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;L'acte Règlement (UE) 2020/852 (Taxonomie) comporte-t-il, en dehors de « Article 3 », une disposition qui déroge à cette obligation, ou aucune disposition de cet acte n'en limite-t-elle la portée ?;;"Règlement (UE) 2020/852 (Taxonomie), version du 2020-01-01 ; article cité : Article 3 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
TAXO-R-003;P0;SFDR;CL-EXC-R-GLEMENT-UE-2020-852-TAXONO-AUCUNE;source_checked;1;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;L'acte Règlement (UE) 2020/852 (Taxonomie) comporte-t-il, en dehors de « Articles 17 et 18 », une disposition qui déroge à cette obligation, ou aucune disposition de cet acte n'en limite-t-elle la portée ?;;"Règlement (UE) 2020/852 (Taxonomie), version du 2020-01-01 ; article cité : Articles 17 et 18 ; acte entier, à défaut de disposition limitante identifiée";;;;;;;
DORA-R-003;P0;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A16-A19-A26-A3-A46;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 16, Article 19 constitue(nt)-t-il(s) une exception applicable à « Article 6 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-003 ?;Article 1 | Article 16 | Article 19 | Article 26 | Article 3 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 6 ; dispositions à examiner : Article 1, Article 16, Article 19, Article 26, Article 3, Article 46";;;;;;;
DORA-R-002;P0;DORA;CL-EXC-R-GLEMENT-UE-2022-2554-DORA-A1-A16-A2-A20-A26-A46;source_checked;1;EXCEPTION_UNRESOLVED;EXCEPTION_LIKELY;Article 1, Article 16, Article 2 constitue(nt)-t-il(s) une exception applicable à « Article 5 » de Règlement (UE) 2022/2554 (DORA), ou s'agit-il d'obligations distinctes sans incidence sur la portée de la règle DORA-R-002 ?;Article 1 | Article 16 | Article 2 | Article 20 | Article 26 | Article 46;"Règlement (UE) 2022/2554 (DORA), version du 2020-01-01 ; article cité : Article 5 ; dispositions à examiner : Article 1, Article 16, Article 2, Article 20, Article 26, Article 46";;;;;;;
