rule_id;domaine;type;priorite;statut_actuel;texte_source;article;url;version_date_declaree;enonce_actuel;exceptions_statut_actuel;verdict;methode;verifie_par;date_verification;statut_vise;enonce_corrige;article_corrige;paragraphe_corrige;url_corrigee;version_date_constatee;exceptions_statut;exceptions_constatees;perimetre_exceptions;gold_ready;gold_ready_motif;commentaire
LCBFT-R-001;LCBFT;SCOPE;CRITICAL;draft;Code monétaire et financier;Article L.561-2;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-2 du code monétaire et financier énumère les personnes assujetties aux obligations de lutte contre le blanchiment de capitaux et le financement du terrorisme.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-002;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-4-1;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-4-1 du code monétaire et financier impose aux personnes assujetties de définir et de mettre en place des dispositifs d'identification et d'évaluation des risques de blanchiment et de financement du terrorisme auxquels elles sont exposées, et d'élaborer une classification de ces risques.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-003;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-5;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-5 du code monétaire et financier impose d'identifier le client et, le cas échéant, le bénéficiaire effectif, et de vérifier ces éléments d'identification avant d'entrer en relation d'affaires.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-005;LCBFT;DEFINITION;CRITICAL;draft;Code monétaire et financier;Articles L.561-2-2 et R.561-1 et suivants;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier impose d'identifier et de vérifier l'identité du bénéficiaire effectif de la relation d'affaires, les modalités et critères de détermination étant fixés par sa partie réglementaire.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-006;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-6;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-6 du code monétaire et financier impose d'exercer une vigilance constante pendant toute la durée de la relation d'affaires et de procéder à un examen attentif des opérations effectuées, en veillant à ce qu'elles soient cohérentes avec la connaissance actualisée du client.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-007;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-10;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-10 du code monétaire et financier énumère les situations dans lesquelles les personnes assujetties appliquent des mesures de vigilance complémentaires à l'égard de leur client.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-008;LCBFT;CLASSIFICATION;CRITICAL;draft;Code monétaire et financier;Articles L.561-10 et R.561-18;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier soumet les relations d'affaires avec des personnes politiquement exposées à des mesures de vigilance complémentaires, la définition et le périmètre de ces personnes étant précisés par sa partie réglementaire.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-009;LCBFT;OBLIGATION;CRITICAL;draft;Code monétaire et financier;Article L.561-15;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-15 du code monétaire et financier impose de déclarer au service Tracfin les sommes ou opérations portant sur des sommes dont les personnes assujetties savent, soupçonnent ou ont de bonnes raisons de soupçonner qu'elles proviennent d'une infraction passible d'une peine privative de liberté supérieure à un an ou sont liées au financement du terrorisme.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-010;LCBFT;PROHIBITION;CRITICAL;draft;Code monétaire et financier;Article L.561-18;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;Le code monétaire et financier interdit de porter à la connaissance du client ou de tiers l'existence et le contenu d'une déclaration de soupçon adressée à Tracfin, ainsi que les suites qui lui sont données.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-012;LCBFT;PROHIBITION;CRITICAL;draft;Code monétaire et financier;Article L.561-8;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-8 du code monétaire et financier dispose que, lorsque la personne assujettie n'est pas en mesure d'identifier son client ou d'obtenir les informations sur l'objet et la nature de la relation d'affaires, elle n'exécute aucune opération et n'établit ni ne poursuit aucune relation d'affaires.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-004;LCBFT;OBLIGATION;HIGH;draft;Code monétaire et financier;Article L.561-5-1;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-5-1 du code monétaire et financier impose de recueillir, avant d'entrer en relation d'affaires, les informations relatives à l'objet et à la nature de cette relation et tout élément d'information pertinent.;unknown;;;;;;;;;;;;;;;;
LCBFT-R-011;LCBFT;RECORD_KEEPING;HIGH;draft;Code monétaire et financier;Article L.561-12;https://www.legifrance.gouv.fr/codes/section_lc/LEGITEXT000006072026/LEGISCTA000020196177;2020-01-01;L'article L.561-12 du code monétaire et financier impose de conserver pendant cinq ans à compter de la clôture des comptes ou de la cessation des relations les documents et informations relatifs à l'identité des clients et aux opérations effectuées.;unknown;;;;;;;;;;;;;;;;
