rule_id;review_cluster_id;priorite;domaine;statut;blocage;mechanical_proposal;neutral_legal_question;perimetre_a_examiner;reviewer_decision;reviewer_name;review_date;source_scope;exceptions_constatees;enonce_reformule;review_notes
AMF-R-001;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-NEG;P0;AMF;source_checked;NEGATIVE_CLAIM_UNRESOLVED;INSUFFICIENT_SOURCE;« Le règlement SFDR imposerait lui-même les conditions de communication commerciale applicables en France. » : cette disposition est-elle absente de Position-recommandation AMF DOC-2020-03 dans le périmètre indiqué, ou une disposition la porte-t-elle ?;Position-recommandation AMF DOC-2020-03 entier dans sa version applicable au 2020-01-01, et non le seul Position-recommandation DOC-2020-03 : une absence ne s'établit pas sur un extrait;;;;;;;
AMF-R-004;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-EXC;P0;AMF;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à AMF-R-004 existe-t-elle dans le périmètre indiqué — Position-recommandation DOC-2020-03, un autre article de Position-recommandation AMF DOC-2020-03, ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Position-recommandation AMF DOC-2020-03 entier au 2020-01-01 — articles autres que Position-recommandation DOC-2020-03 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
DORA-R-002;CL-32022R2554-ART5-EXC;P0;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-002 existe-t-elle dans le périmètre indiqué — Article 5, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Article 5 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
DORA-R-003;CL-32022R2554-ART6-EXC;P0;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-003 existe-t-elle dans le périmètre indiqué — Article 6, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Article 6 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
DORA-R-007;CL-32022R2554-ART18-NEG;P0;DORA;source_checked;NEGATIVE_CLAIM_UNRESOLVED;INSUFFICIENT_SOURCE;« L'article 18 fixerait lui-même un nombre de clients affectés au-delà duquel l'incident est majeur. » : cette disposition est-elle absente de Règlement (UE) 2022/2554 (DORA) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;Règlement (UE) 2022/2554 (DORA) entier dans sa version applicable au 2020-01-01, et non le seul Article 18 : une absence ne s'établit pas sur un extrait;;;;;;;
DORA-R-008;CL-32022R2554-ART19-NEG;P0;DORA;source_checked;NEGATIVE_CLAIM_UNRESOLVED;INSUFFICIENT_SOURCE;« Le règlement DORA de niveau 1 fixerait un délai de notification initiale en heures. » : cette disposition est-elle absente de Règlement (UE) 2022/2554 (DORA) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;Règlement (UE) 2022/2554 (DORA) entier dans sa version applicable au 2020-01-01, et non le seul Article 19 : une absence ne s'établit pas sur un extrait;;;;;;;
DORA-R-010;CL-32022R2554-ART28-EXC;P0;DORA;source_checked;EXCEPTION_UNRESOLVED;NO_EXCEPTION_IDENTIFIED_IN_REVIEWED_SCOPE;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-010 existe-t-elle dans le périmètre indiqué — Article 28, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;Règlement (UE) 2022/2554 (DORA) entier au 2020-01-01 — articles autres que Article 28 compris — ainsi que les actes délégués et d'exécution pris sur son fondement;;;;;;;
LCBFT-R-001;CL-CMF-ARTL-561-2-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-2 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-001, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-2 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-002;CL-CMF-ARTL-561-4-1-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-4-1 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-002, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-4-1 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-003;CL-CMF-ARTL-561-5-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-5 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-003, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-5 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-005;CL-CMF-ARTL-561-2-2-ET-R-561-1-ET-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Articles L.561-2-2 et R.561-1 et suivants de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-005, ou l'énoncé vise-t-il une autre disposition ?;Articles L.561-2-2 et R.561-1 et suivants de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-006;CL-CMF-ARTL-561-6-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-6 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-006, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-6 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-007;CL-CMF-ARTL-561-10-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-10 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-007, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-10 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-008;CL-CMF-ARTL-561-10-ET-R-561-18-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Articles L.561-10 et R.561-18 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-008, ou l'énoncé vise-t-il une autre disposition ?;Articles L.561-10 et R.561-18 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
LCBFT-R-009;CL-CMF-ARTL-561-15-SRC;P0;LCBFT;draft;SOURCE_INCOMPLETE;INSUFFICIENT_SOURCE;Le texte de Article L.561-15 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-009, ou l'énoncé vise-t-il une autre disposition ?;Article L.561-15 de Code monétaire et financier, consulté hors de cet environnement d'exécution (le texte primaire n'y est pas atteignable);;;;;;;
