rule_id;domain;priority;blocker;secondary_blockers;source;article;paragraph;source_access_status;review_cluster;exact_decision_required;required_evidence;proposed_action;expected_status_after_decision
AMF-R-001;AMF;P0;NEGATIVE_CLAIM_UNRESOLVED;`EXCEPTION_UNRESOLVED` (exceptions_recherchees) — recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;;TEXTE_RECUPERE;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-NEG;« Le règlement SFDR imposerait lui-même les conditions de communication commerciale applicables en France. » : cette disposition est-elle absente de Position-recommandation AMF DOC-2020-03 dans le périmètre indiqué, ou une disposition la porte-t-elle ?;le périmètre couvert (searched_in) et, si le texte la porte, la disposition qui contredit l'affirmation (actual_provision);NEGATIVE_CLAIM_REVIEW;statut inchangé (`source_checked`) : 1 blocage(s) de fond resteraient après cette décision
AMF-R-004;AMF;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Position-recommandation AMF DOC-2020-03;Position-recommandation DOC-2020-03;;TEXTE_RECUPERE;CL-DOC-2020-03-ARTPOSITION-RECOMMANDATION-EXC;Une dérogation, exclusion, exemption ou condition applicable à AMF-R-004 existe-t-elle dans le périmètre indiqué — Position-recommandation DOC-2020-03, un autre article de Position-recommandation AMF DOC-2020-03, ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
DORA-R-002;DORA;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 5;;TEXTE_RECUPERE;CL-32022R2554-ART5-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-002 existe-t-elle dans le périmètre indiqué — Article 5, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
DORA-R-003;DORA;P0;EXCEPTION_UNRESOLVED;`TEMPORAL_UNRESOLVED` (temporalite_etablie) — temporalité « IN_FORCE » non établie : la date d'appréciation de la question serait arbitraire | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 6;;TEXTE_RECUPERE;CL-32022R2554-ART6-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-003 existe-t-elle dans le périmètre indiqué — Article 6, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;statut inchangé (`source_checked`) : 1 blocage(s) de fond resteraient après cette décision
DORA-R-007;DORA;P0;NEGATIVE_CLAIM_UNRESOLVED;`EXCEPTION_UNRESOLVED` (exceptions_recherchees) — recherche d'exceptions « requires_human_review » : une question construite ici testerait la règle comme un absolu | `TEMPORAL_UNRESOLVED` (temporalite_etablie) — temporalité « IN_FORCE » non établie : la date d'appréciation de la question serait arbitraire | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 18;;TEXTE_RECUPERE;CL-32022R2554-ART18-NEG;« L'article 18 fixerait lui-même un nombre de clients affectés au-delà duquel l'incident est majeur. » : cette disposition est-elle absente de Règlement (UE) 2022/2554 (DORA) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;le périmètre couvert (searched_in) et, si le texte la porte, la disposition qui contredit l'affirmation (actual_provision);NEGATIVE_CLAIM_REVIEW;statut inchangé (`source_checked`) : 2 blocage(s) de fond resteraient après cette décision
DORA-R-008;DORA;P0;NEGATIVE_CLAIM_UNRESOLVED;`TEMPORAL_UNRESOLVED` (temporalite_etablie) — temporalité « IN_FORCE » non établie : la date d'appréciation de la question serait arbitraire | `HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 19;;TEXTE_RECUPERE;CL-32022R2554-ART19-NEG;« Le règlement DORA de niveau 1 fixerait un délai de notification initiale en heures. » : cette disposition est-elle absente de Règlement (UE) 2022/2554 (DORA) dans le périmètre indiqué, ou une disposition la porte-t-elle ?;le périmètre couvert (searched_in) et, si le texte la porte, la disposition qui contredit l'affirmation (actual_provision);NEGATIVE_CLAIM_REVIEW;statut inchangé (`source_checked`) : 1 blocage(s) de fond resteraient après cette décision
DORA-R-010;DORA;P0;EXCEPTION_UNRESOLVED;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « source_checked » : seul « validated » ancre une famille;Règlement (UE) 2022/2554 (DORA);Article 28;;TEXTE_RECUPERE;CL-32022R2554-ART28-EXC;Une dérogation, exclusion, exemption ou condition applicable à DORA-R-010 existe-t-elle dans le périmètre indiqué — Article 28, un autre article de Règlement (UE) 2022/2554 (DORA), ou un acte pris sur son fondement — ou n'en existe-t-il aucune dans ce périmètre ?;le périmètre réellement examiné (source_scope) et, s'il en existe, les phrases de dérogation recopiées telles quelles du texte officiel;EXCEPTION_ADJUDICATION;"`source_checked` → `validated` possible si la décision est signée ; `gold_ready` est alors recalculé, il n'est pas accordé par la décision"
LCBFT-R-001;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-2;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-2-SRC;Le texte de Article L.561-2 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-001, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-002;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-4-1;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-4-1-SRC;Le texte de Article L.561-4-1 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-002, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-003;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Article L.561-5;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-5-SRC;Le texte de Article L.561-5 de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-003, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
LCBFT-R-005;LCBFT;P0;SOURCE_INCOMPLETE;`HUMAN_REVIEW_REQUIRED` (statut_non_validated) — règle en « draft » : seul « validated » ancre une famille;Code monétaire et financier;Articles L.561-2-2 et R.561-1 et suivants;;REFUS_DE_LA_SOURCE;CL-CMF-ARTL-561-2-2-ET-R-561-1-ET-SRC;Le texte de Articles L.561-2-2 et R.561-1 et suivants de Code monétaire et financier, consulté hors de cet environnement, soutient-il l'énoncé de LCBFT-R-005, ou l'énoncé vise-t-il une autre disposition ?;le texte de la disposition dans sa version applicable, sa référence de publication, et la signature (verifie_par + date_verification) portée au dossier de vérification;SOURCE_CONSULTATION;`draft` → `source_checked` si la consultation est signée. Les blocages que le texte révélera ne sont pas connus avant lecture : l'audit les fera apparaître, ils ne se devinent pas ici
